Pytanie,Odpowiedź prawidłowa,Odpowiedź nieprawidłowa 1,Odpowiedź nieprawidłowa 2,Odpowiedź nieprawidłowa 3,Czas na udzielenie odpowiedzi (domyślnie 25s)
Czas Perfekt jest czasem:,przeszłym złożonym,przeszłym prostym,przeszłym pomocniczym,przyszłym złożonym,
Czasownik pomocniczy występuje:,na drugim miejscu,na ostatnim miejscu,po czasowniku sein/haben,przed podmiotem,
Czasownikiem pomocniczym jest:,sein i haben,tylko sein,tylko haben,machen,
Jaki przypadek zawsze wymaga haben jako czasownika pomocniczego?,Akkusativ (kogo? co?),Nominativ (kto? co?),Genitiv (kogo? czego? czyj?),Dativ (komu? czemu?),
W jaki sposób tworzymy regularne czasowniki Partizip II?,ge + czasownik bez -en + t,ge + czasownik,czasownik bez -en + t,ge + czasownik bez -en,
Kiedy NIE dajemy sein?,kiedy czasownik jest zwrotny,kiedy następuje zmiana stanu,kiedy czasownik określa ruch,"po czasownikach sein, bleiben i werden",
Wskaż czasownik łączący się z haben,sich erholen,aufwachen,gehen,fliegen,
Wskaż czasownik łączący się z sein,sein,machen,kochen,denken,
Wskaż poprawne zdanie,Haben Sie einen Termin beim Doktor Jachaś vereinbart?,Hast du in Polen gewandert?,Hast du zu Hause geblieben?,Ich bin viel geschlafen,
Wskaż poprawne zdanie,Ich habe gestern viele Kekse gebacken,Ich bin meinem Vater zum Bahnhof gefahren,Bist du diese Leute schon getroffen?,Was bist du am Wochenende gemacht?,
Wskaż poprawne zdanie,Ich habe meinem Bruder zur Schule gefahren,Ich habe in der Schule gegangen,Du hast am Morgen viel galaufen,Sie ist ihre Hausaufgaben gemacht,
Wskaż poprawne zdanie,Ich bin vor drei Monaten nach Italien geflogen,Wir sind uns erholt,Ihr habt ins Kino gefahren,Sie sind drei Stunden gearbeitet,
Wybierz właściwą formę Partizip II czasownika machen,gemacht,gemachen,machen,gemach,
Wybierz właściwą formę Partizip II czasownika arbeiten,gearbeitet,gearbeiten,gearbeit,gearbeitt,
Wybierz właściwą formę Partizip II czasownika aufwachen,aufgewacht,aufgewachen,geaufwacht,geaufwachen,
Wybierz właściwą formę Partizip II czasownika verkaufen,verkauft,verkaufen,geverkaufen,vergekauft,
Wybierz właściwy czasownik pomocniczy i formę Partizip II czasownika telefonieren,hat telefoniert,hat getelefoniert,ist telefoniert,ist telefonieren,
Wybierz właściwy czasownik pomocniczy i formę Partizip II czasownika gehen,ist gegangen,hat gegehen,hat gegeht,ist gegehen,
Wybierz właściwy czasownik pomocniczy i formę Partizip II czasownika aufstehen,ist aufgestanden,ist geaufstehen,hat aufgestanden,hat geaufstehen,
Wybierz właściwy czasownik pomocniczy i formę Partizip II czasownika einschlafen,ist eingeschlafen,hat eingeschlaft,hat geeinschlafen,ist geeinschlafen,